has,prefers,count,rel_perf
production_renewables,production_natural_gas,0.28617301,1
production_renewables,production_coal,0.144919844,0
production_renewables,production_nuclear,0.102852118,1
production_renewables,production_other,0.047801613,1
production_renewables,production_all_sources,0.28912148,1
production_renewables,electricity_export,0.662641862,1
production_renewables,electricity_import,0.375911889,1
production_renewables,price_all sectors,0.007806952,0
production_renewables,price_commercial,0.007550532,1
production_renewables,price_industrial,0.063802018,0
production_renewables,price_other,0.14428008,0
production_renewables,price_residential,0.02681071,0
production_renewables,price_transportation,0.132738191,0
production_renewables,revenue_All Sectors,0.398338103,1
production_renewables,revenue_Commercial,0.451423198,1
production_renewables,revenue_Industrial,0.289260442,1
production_renewables,revenue_Other,0.333098079,1
production_renewables,revenue_Residential,0.348195234,1
production_renewables,revenue_Transportation,0.215914923,1
production_natural_gas,production_coal,0.292589209,1
production_natural_gas,production_nuclear,0.304586565,1
production_natural_gas,production_other,0.373516658,1
production_natural_gas,production_all_sources,0.772251057,1
production_natural_gas,electricity_export,0.008261037,1
production_natural_gas,electricity_import,0.121854136,1
production_natural_gas,price_all sectors,0.130923471,1
production_natural_gas,price_commercial,0.115613209,1
production_natural_gas,price_industrial,0.082862174,1
production_natural_gas,price_other,0.054167411,0
production_natural_gas,price_residential,0.124654886,1
production_natural_gas,price_transportation,0.064520598,1
production_natural_gas,revenue_All Sectors,0.820834717,1
production_natural_gas,revenue_Commercial,0.747216859,1
production_natural_gas,revenue_Industrial,0.729887603,1
production_natural_gas,revenue_Other,0.654888799,1
production_natural_gas,revenue_Residential,0.841251365,1
production_natural_gas,revenue_Transportation,0.126768015,1
production_coal,production_nuclear,0.454005304,1
production_coal,production_other,0.131638353,1
production_coal,production_all_sources,0.744717418,1
production_coal,electricity_export,0.081126841,0
production_coal,electricity_import,0.183069025,0
production_coal,price_all sectors,0.355926836,0
production_coal,price_commercial,0.326481236,0
production_coal,price_industrial,0.36804758,0
production_coal,price_other,0.296861368,0
production_coal,price_residential,0.317245244,0
production_coal,price_transportation,0.165902635,0
production_coal,revenue_All Sectors,0.423865736,1
production_coal,revenue_Commercial,0.258699683,1
production_coal,revenue_Industrial,0.626167894,1
production_coal,revenue_Other,0.271307628,1
production_coal,revenue_Residential,0.456773073,1
production_coal,revenue_Transportation,0.143905783,0
production_nuclear,production_other,0.189263284,1
production_nuclear,production_all_sources,0.679344427,1
production_nuclear,electricity_export,0.036075632,1
production_nuclear,electricity_import,0.113717012,1
production_nuclear,price_all sectors,0.020818991,1
production_nuclear,price_commercial,0.024789686,1
production_nuclear,price_industrial,0.067726654,0
production_nuclear,price_other,0.116963335,0
production_nuclear,price_residential,0.036030279,1
production_nuclear,price_transportation,0.049091534,0
production_nuclear,revenue_All Sectors,0.581286535,1
production_nuclear,revenue_Commercial,0.531422116,1
production_nuclear,revenue_Industrial,0.541745891,1
production_nuclear,revenue_Other,0.530678109,1
production_nuclear,revenue_Residential,0.57909986,1
production_nuclear,revenue_Transportation,0.316753235,1
production_other,production_all_sources,0.364031827,1
production_other,electricity_export,0.049430696,1
production_other,electricity_import,0.141896056,1
production_other,price_all sectors,0.193635059,1
production_other,price_commercial,0.189876919,1
production_other,price_industrial,0.147199517,1
production_other,price_other,0.070529576,1
production_other,price_residential,0.176996489,1
production_other,price_transportation,0.016223775,1
production_other,revenue_All Sectors,0.418140847,1
production_other,revenue_Commercial,0.404808014,1
production_other,revenue_Industrial,0.19857852,1
production_other,revenue_Other,0.430214466,1
production_other,revenue_Residential,0.468713374,1
production_other,revenue_Transportation,0.21832753,1
production_all_sources,electricity_export,0.108083283,1
production_all_sources,electricity_import,0.079112288,1
production_all_sources,price_all sectors,0.102936455,0
production_all_sources,price_commercial,0.091178205,0
production_all_sources,price_industrial,0.169841892,0
production_all_sources,price_other,0.234045885,0
production_all_sources,price_residential,0.086916502,0
production_all_sources,price_transportation,0.094439919,0
production_all_sources,revenue_All Sectors,0.858340696,1
production_all_sources,revenue_Commercial,0.737054568,1
production_all_sources,revenue_Industrial,0.871928445,1
production_all_sources,revenue_Other,0.687199227,1
production_all_sources,revenue_Residential,0.876961282,1
production_all_sources,revenue_Transportation,0.141679766,1
electricity_export,electricity_import,0.439715003,1
electricity_export,price_all sectors,0.051200832,0
electricity_export,price_commercial,0.038609556,0
electricity_export,price_industrial,0.095540281,0
electricity_export,price_other,0.115886384,0
electricity_export,price_residential,0.061102247,0
electricity_export,price_transportation,0.058831894,0
electricity_export,revenue_All Sectors,0.094985243,1
electricity_export,revenue_Commercial,0.124478394,1
electricity_export,revenue_Industrial,0.038401318,1
electricity_export,revenue_Other,0.266678198,1
electricity_export,revenue_Residential,0.075678236,1
electricity_export,revenue_Transportation,0.151836676,1
electricity_import,price_all sectors,0.25995773,1
electricity_import,price_commercial,0.266811069,1
electricity_import,price_industrial,0.122934547,1
electricity_import,price_other,0.101603214,1
electricity_import,price_residential,0.271134386,1
electricity_import,price_transportation,0.176129822,1
electricity_import,revenue_All Sectors,0.306534983,1
electricity_import,revenue_Commercial,0.419048849,1
electricity_import,revenue_Industrial,0.101173153,1
electricity_import,revenue_Other,0.497900288,1
electricity_import,revenue_Residential,0.238880792,1
electricity_import,revenue_Transportation,0.707259833,1
price_all sectors,price_commercial,0.987984307,1
price_all sectors,price_industrial,0.954025238,1
price_all sectors,price_other,0.697060986,1
price_all sectors,price_residential,0.987373531,1
price_all sectors,price_transportation,0.515891554,1
price_all sectors,revenue_All Sectors,0.184927556,1
price_all sectors,revenue_Commercial,0.261878253,1
price_all sectors,revenue_Industrial,0.032288434,1
price_all sectors,revenue_Other,0.21016687,1
price_all sectors,revenue_Residential,0.153695587,1
price_all sectors,revenue_Transportation,0.503396138,1
price_commercial,price_industrial,0.936221071,1
price_commercial,price_other,0.666301615,1
price_commercial,price_residential,0.978735551,1
price_commercial,price_transportation,0.537495132,1
price_commercial,revenue_All Sectors,0.181977284,1
price_commercial,revenue_Commercial,0.257614333,1
price_commercial,revenue_Industrial,0.059901174,1
price_commercial,revenue_Other,0.25881107,1
