has,prefers,count
production_renewables,production_natural_gas,1.28617301
production_renewables,production_coal,0.855080156
production_renewables,production_nuclear,1.102852118
production_renewables,production_other,1.047801613
production_renewables,production_all_sources,1.28912148
production_renewables,electricity_export,1.662641862
production_renewables,electricity_import,1.375911889
production_renewables,export_minus_import,1.002495893
production_renewables,price_all_sectors,0.992193048
production_renewables,price_commercial,1.007550532
production_renewables,price_industrial,0.936197982
production_renewables,price_other,0.85571992
production_renewables,price_residential,0.97318929
production_renewables,price_transportation,0.867261809
production_renewables,revenue_all_sectors,1.398338103
production_renewables,revenue_commercial,1.451423198
production_renewables,revenue_industrial,1.289260442
production_renewables,revenue_other,1.333098079
production_renewables,revenue_residential,1.348195234
production_renewables,revenue_transportation,1.215914923
production_renewables,revenue_all_sectors_per_capita,0.839683991
production_renewables,revenue_commercial_per_capita,0.925594162
production_renewables,revenue_industrial_per_capita,0.836862951
production_renewables,revenue_other_per_capita,1.029632791
production_renewables,revenue_residential_per_capita,0.897549265
production_renewables,revenue_transportation_per_capita,0.930671778
production_renewables,sales_all_sectors,1.346080811
production_renewables,sales_commercial,1.411855904
production_renewables,sales_industrial,1.218268491
production_renewables,sales_other,1.32204571
production_renewables,sales_residential,1.315689179
production_renewables,sales_transportation,1.237980614
production_renewables,sales_all_sectors_per_capita,0.869936689
production_renewables,sales_commercial_per_capita,0.901548791
production_renewables,sales_industrial_per_capita,0.88741074
production_renewables,sales_other_per_capita,1.036717573
production_renewables,sales_residential_per_capita,0.967569997
production_renewables,sales_transportation_per_capita,0.916785206
production_natural_gas,production_coal,1.292589209
production_natural_gas,production_nuclear,1.304586565
production_natural_gas,production_other,1.373516658
production_natural_gas,production_all_sources,1.772251057
production_natural_gas,electricity_export,1.008261037
production_natural_gas,electricity_import,1.121854136
production_natural_gas,export_minus_import,0.870940638
production_natural_gas,price_all_sectors,1.130923471
production_natural_gas,price_commercial,1.115613209
production_natural_gas,price_industrial,1.082862174
production_natural_gas,price_other,0.945832589
production_natural_gas,price_residential,1.124654886
production_natural_gas,price_transportation,1.064520598
production_natural_gas,revenue_all_sectors,1.820834717
production_natural_gas,revenue_commercial,1.747216859
production_natural_gas,revenue_industrial,1.729887603
production_natural_gas,revenue_other,1.654888799
production_natural_gas,revenue_residential,1.841251365
production_natural_gas,revenue_transportation,1.126768015
production_natural_gas,revenue_all_sectors_per_capita,1.076777856
production_natural_gas,revenue_commercial_per_capita,1.031196978
production_natural_gas,revenue_industrial_per_capita,0.908186459
production_natural_gas,revenue_other_per_capita,1.163715381
production_natural_gas,revenue_residential_per_capita,1.240639774
production_natural_gas,revenue_transportation_per_capita,0.90901751
production_natural_gas,sales_all_sectors,1.797969451
production_natural_gas,sales_commercial,1.793179438
production_natural_gas,sales_industrial,1.616418648
production_natural_gas,sales_other,1.625685463
production_natural_gas,sales_residential,1.805962601
production_natural_gas,sales_transportation,1.145699948
production_natural_gas,sales_all_sectors_per_capita,0.890389398
production_natural_gas,sales_commercial_per_capita,0.939811186
production_natural_gas,sales_industrial_per_capita,0.849958823
production_natural_gas,sales_other_per_capita,1.07298606
production_natural_gas,sales_residential_per_capita,1.055055926
production_natural_gas,sales_transportation_per_capita,0.898099169
production_coal,production_nuclear,1.454005304
production_coal,production_other,1.131638353
production_coal,production_all_sources,1.744717418
production_coal,electricity_export,0.918873159
production_coal,electricity_import,0.816930975
production_coal,export_minus_import,1.150686373
production_coal,price_all_sectors,0.644073164
production_coal,price_commercial,0.673518764
production_coal,price_industrial,0.63195242
production_coal,price_other,0.703138632
production_coal,price_residential,0.682754756
production_coal,price_transportation,0.834097365
production_coal,revenue_all_sectors,1.423865736
production_coal,revenue_commercial,1.258699683
production_coal,revenue_industrial,1.626167894
production_coal,revenue_other,1.271307628
production_coal,revenue_residential,1.456773073
production_coal,revenue_transportation,0.856094217
production_coal,revenue_all_sectors_per_capita,0.932355149
